position_lat,distance,enhanced_altitude,timestamp,position_long,speed,altitude,power,cadence
-11.6377052664757,0.22,2.19999999999999,2023-03-14T06:49:12Z,166.949175596237,1.202,2.19999999999999,300,85
-11.6376851499081,2.57,2.19999999999999,2023-03-14T06:49:13Z,166.949175596237,3.076,2.19999999999999,300,85
-11.6376529633999,6.25,2,2023-03-14T06:49:14Z,166.949197053909,4.171,2,300,85
-11.6376127302647,10.89,2,2023-03-14T06:49:15Z,166.949197053909,5.028,2,300,85
-11.6375671327114,16.26,2,2023-03-14T06:49:16Z,166.949218511581,5.741,2,300,85
-11.6375175118446,22.34,1.80000000000001,2023-03-14T06:49:17Z,166.949239969254,6.363,1.80000000000001,300,85
-11.6374625265598,29.04,1.80000000000001,2023-03-14T06:49:18Z,166.949272155762,6.91,1.80000000000001,300,85
-11.6374062001705,36.13,1.60000000000002,2023-03-14T06:49:19Z,166.94930434227,7.385,1.60000000000002,300,85
-11.6373445093632,43.73,1.60000000000002,2023-03-14T06:49:20Z,166.949325799942,7.811,1.60000000000002,300,85
-11.6372828185558,51.73,1.60000000000002,2023-03-14T06:49:21Z,166.94935798645,8.185,1.60000000000002,300,85
-11.6372184455395,60.08,1.39999999999998,2023-03-14T06:49:22Z,166.949400901794,8.513,1.39999999999998,300,85
-11.6371513903141,68.8,1.39999999999998,2023-03-14T06:49:23Z,166.949454545975,8.801,1.39999999999998,300,85
-11.6370829939842,77.68,1.39999999999998,2023-03-14T06:49:24Z,166.949486732483,9.049,1.39999999999998,300,85
-11.6370132565498,86.82,1.39999999999998,2023-03-14T06:49:25Z,166.949529647827,9.266,1.39999999999998,300,85
-11.6369408369064,96.27,1.19999999999999,2023-03-14T06:49:26Z,166.949572563171,9.456,1.19999999999999,300,85
-11.6368697583675,105.75,1.19999999999999,2023-03-14T06:49:27Z,166.949636936188,9.618,1.19999999999999,300,85
-11.6367973387241,115.4,1.19999999999999,2023-03-14T06:49:28Z,166.949679851532,9.759,1.19999999999999,300,85
-11.6367249190807,125.24,1.19999999999999,2023-03-14T06:49:29Z,166.949722766876,9.881,1.19999999999999,300,85
-11.6366511583328,135.21,1.19999999999999,2023-03-14T06:49:30Z,166.949787139893,9.986,1.19999999999999,300,85
-11.6365800797939,145.22,1.39999999999998,2023-03-14T06:49:31Z,166.949830055237,10.076,1.39999999999998,300,85
-11.6365076601505,155.33,1.39999999999998,2023-03-14T06:49:32Z,166.949894428253,10.155,1.39999999999998,300,85
-11.6364392638206,165.46,1.39999999999998,2023-03-14T06:49:33Z,166.94995880127,10.223,1.39999999999998,300,85
-11.6363681852818,175.84,1.39999999999998,2023-03-14T06:49:34Z,166.95001244545,10.284,1.39999999999998,300,85
-11.6363011300564,186.12,1.39999999999998,2023-03-14T06:49:35Z,166.950076818466,10.338,1.39999999999998,300,85
-11.6362354159355,196.55,1.39999999999998,2023-03-14T06:49:36Z,166.950151920319,10.388,1.39999999999998,300,85
-11.6361723840237,206.91,1.39999999999998,2023-03-14T06:49:37Z,166.950216293335,10.435,1.39999999999998,300,85
-11.6361120343208,217.31,1.60000000000002,2023-03-14T06:49:38Z,166.950291395187,10.481,1.60000000000002,300,85
-11.636054366827,227.84,1.60000000000002,2023-03-14T06:49:39Z,166.95036649704,10.528,1.60000000000002,300,85
-11.6360007226467,238.36,1.60000000000002,2023-03-14T06:49:40Z,166.950463056564,10.578,1.60000000000002,300,85
-11.6359497606754,249.11,1.60000000000002,2023-03-14T06:49:41Z,166.950538158417,10.632,1.60000000000002,300,85
-11.6359041631222,259.75,1.60000000000002,2023-03-14T06:49:42Z,166.950623989105,10.686,1.60000000000002,300,85
-11.6358585655689,270.37,1.60000000000002,2023-03-14T06:49:43Z,166.950699090958,10.736,1.60000000000002,300,85
-11.6358143091202,281.08,1.60000000000002,2023-03-14T06:49:44Z,166.950795650482,10.782,1.60000000000002,300,85
-11.6357727348804,291.89,1.60000000000002,2023-03-14T06:49:45Z,166.950881481171,10.824,1.60000000000002,300,85
-11.6357325017452,302.88,1.60000000000002,2023-03-14T06:49:46Z,166.950978040695,10.863,1.60000000000002,300,85
-11.63569226861,313.7,1.60000000000002,2023-03-14T06:49:47Z,166.951063871384,10.899,1.60000000000002,300,85
-11.6356560587883,324.6,1.60000000000002,2023-03-14T06:49:48Z,166.951160430908,10.931,1.60000000000002,300,85
-11.6356238722801,335.48,1.60000000000002,2023-03-14T06:49:49Z,166.951256990433,10.961,1.60000000000002,300,85
-11.6355903446674,346.56,1.60000000000002,2023-03-14T06:49:50Z,166.951342821121,10.99,1.60000000000002,300,85
-11.6355635225773,357.56,1.60000000000002,2023-03-14T06:49:51Z,166.951450109482,11.015,1.60000000000002,300,85
-11.6355380415916,368.55,1.60000000000002,2023-03-14T06:49:52Z,166.951546669006,11.039,1.60000000000002,300,85
-11.635517925024,379.59,1.60000000000002,2023-03-14T06:49:53Z,166.951632499695,11.061,1.60000000000002,300,85
-11.6355018317699,390.59,1.60000000000002,2023-03-14T06:49:54Z,166.951739788055,11.081,1.60000000000002,300,85
-11.6354911029339,401.81,1.60000000000002,2023-03-14T06:49:55Z,166.951847076416,11.101,1.60000000000002,300,85
-11.6354857385159,412.89,1.60000000000002,2023-03-14T06:49:56Z,166.951943635941,11.118,1.60000000000002,300,85
-11.6354884207249,423.92,1.60000000000002,2023-03-14T06:49:57Z,166.952050924301,11.135,1.60000000000002,300,85
-11.6354978084564,435.23,1.60000000000002,2023-03-14T06:49:58Z,166.952147483826,11.151,1.60000000000002,300,85
-11.6355139017105,446.41,1.60000000000002,2023-03-14T06:49:59Z,166.95224404335,11.166,1.60000000000002,300,85
-11.6355407238007,457.41,1.60000000000002,2023-03-14T06:50:00Z,166.952351331711,11.18,1.60000000000002,300,85
-11.6355769336224,468.69,1.60000000000002,2023-03-14T06:50:01Z,166.952437162399,11.195,1.60000000000002,300,85
-11.6356265544891,479.81,1.60000000000002,2023-03-14T06:50:02Z,166.952533721924,11.21,1.60000000000002,300,85
-11.6356855630875,491.1,1.60000000000002,2023-03-14T06:50:03Z,166.952608823776,11.228,1.60000000000002,300,85
-11.6357526183128,502.44,1.60000000000002,2023-03-14T06:50:04Z,166.952683925629,11.246,1.60000000000002,300,85
-11.6358236968517,513.64,1.60000000000002,2023-03-14T06:50:05Z,166.952759027481,11.264,1.60000000000002,300,85
-11.6358974575996,524.94,1.60000000000002,2023-03-14T06:50:06Z,166.952834129334,11.281,1.60000000000002,300,85
-11.6359739005566,536.1,1.60000000000002,2023-03-14T06:50:07Z,166.95289850235,11.298,1.60000000000002,300,85
-11.636054366827,547.55,1.60000000000002,2023-03-14T06:50:08Z,166.952962875366,11.313,1.60000000000002,300,85
-11.6361348330975,558.86,1.60000000000002,2023-03-14T06:50:09Z,166.953037977219,11.328,1.60000000000002,300,85
-11.6362152993679,570.06,1.60000000000002,2023-03-14T06:50:10Z,166.953102350235,11.341,1.60000000000002,300,85
-11.6362984478474,581.4,1.60000000000002,2023-03-14T06:50:11Z,166.953155994415,11.353,1.60000000000002,300,85
-11.6363829374313,592.91,1.60000000000002,2023-03-14T06:50:12Z,166.953220367432,11.364,1.60000000000002,300,85
-11.6364660859108,604.18,1.60000000000002,2023-03-14T06:50:13Z,166.953284740448,11.374,1.60000000000002,300,85
-11.6365505754948,615.49,1.60000000000002,2023-03-14T06:50:14Z,166.953327655792,11.382,1.60000000000002,300,85
-11.6366350650787,627.02,1.60000000000002,2023-03-14T06:50:15Z,166.953392028809,11.389,1.60000000000002,300,85
-11.6367195546627,638.37,1.60000000000002,2023-03-14T06:50:16Z,166.953445672989,11.394,1.60000000000002,300,85
-11.6368040442467,649.78,1.60000000000002,2023-03-14T06:50:17Z,166.953510046005,11.398,1.60000000000002,300,85
-11.6368871927261,661.24,1.60000000000002,2023-03-14T06:50:18Z,166.953574419022,11.4,1.60000000000002,300,85
