position_lat,distance,enhanced_altitude,timestamp,position_long,speed,altitude,power,cadence
-11.6395023465157,0.24,7.60000000000002,2023-03-13T18:33:13Z,166.948231458664,1.27,7.60000000000002,300,85
-11.6394862532616,2.69,7.39999999999998,2023-03-13T18:33:14Z,166.9482421875,3.255,7.39999999999998,300,85
-11.6394594311714,6.6,7.19999999999999,2023-03-13T18:33:15Z,166.948274374008,4.486,7.19999999999999,300,85
-11.6394285857677,11.53,7.19999999999999,2023-03-13T18:33:16Z,166.948306560516,5.469,7.19999999999999,300,85
-11.639376282692,19.87,6.80000000000001,2023-03-13T18:33:17Z,166.948370933533,6.618,6.80000000000001,300,85
-11.6393481194973,24.25,6.60000000000002,2023-03-13T18:33:18Z,166.948403120041,7.087,6.60000000000002,300,85
-11.639297157526,31.71,6.39999999999998,2023-03-13T18:33:19Z,166.948424577713,7.752,6.39999999999998,300,85
-11.6392381489277,39.92,6.19999999999999,2023-03-13T18:33:20Z,166.948478221893,8.345,6.19999999999999,300,85
-11.6391751170158,48.39,6,2023-03-13T18:33:21Z,166.948521137238,8.847,6,300,85
-11.6391053795815,57.35,5.60000000000002,2023-03-13T18:33:22Z,166.948564052582,9.289,5.60000000000002,300,85
-11.6390316188335,66.81,5.39999999999998,2023-03-13T18:33:23Z,166.948617696762,9.68,5.39999999999998,300,85
-11.6389538347721,76.78,5.19999999999999,2023-03-13T18:33:24Z,166.948660612106,10.028,5.19999999999999,300,85
-11.6388706862926,86.94,5,2023-03-13T18:33:25Z,166.948692798615,10.336,5,300,85
-11.6387848556042,97.36,4.80000000000001,2023-03-13T18:33:26Z,166.948735713959,10.617,4.80000000000001,300,85
-11.6386950016022,108.11,4.39999999999998,2023-03-13T18:33:27Z,166.948767900467,10.875,4.39999999999998,300,85
-11.6386011242867,119.22,4.19999999999999,2023-03-13T18:33:28Z,166.948810815811,11.113,4.19999999999999,300,85
-11.6385072469711,130.31,4,2023-03-13T18:33:29Z,166.948843002319,11.323,4,300,85
-11.6384093463421,141.88,3.80000000000001,2023-03-13T18:33:30Z,166.948875188828,11.518,3.80000000000001,300,85
-11.6383101046085,153.43,3.60000000000002,2023-03-13T18:33:31Z,166.948918104172,11.69,3.60000000000002,300,85
-11.6382095217705,165.27,3.19999999999999,2023-03-13T18:33:32Z,166.94895029068,11.844,3.19999999999999,300,85
-11.6381089389324,177.1,3,2023-03-13T18:33:33Z,166.948982477188,11.979,3,300,85
