position_lat,distance,enhanced_altitude,timestamp,position_long,speed,altitude,power,cadence
-11.6397504508495,0.21,9.19999999999999,2023-03-13T14:20:06Z,166.94783449173,1.055,9.19999999999999,225,85
-11.639738380909,2.36,9,2023-03-13T14:20:07Z,166.947845220566,2.814,9,225,85
-11.6397196054459,5.7,9,2023-03-13T14:20:08Z,166.947866678238,3.861,9,225,85
-11.6396968066692,10,8.80000000000001,2023-03-13T14:20:09Z,166.947898864746,4.712,8.80000000000001,225,85
-11.6396713256836,15.15,8.60000000000002,2023-03-13T14:20:10Z,166.94794178009,5.454,8.60000000000002,225,85
-11.6396445035934,20.99,8.60000000000002,2023-03-13T14:20:11Z,166.947984695435,6.109,8.60000000000002,225,85
-11.6396123170853,27.45,8.39999999999998,2023-03-13T14:20:12Z,166.948027610779,6.703,8.39999999999998,225,85
-11.6395787894726,34.29,8.19999999999999,2023-03-13T14:20:13Z,166.948091983795,7.24,8.19999999999999,225,85
-11.6395398974419,41.94,7.80000000000001,2023-03-13T14:20:14Z,166.948134899139,7.764,7.80000000000001,225,85
-11.6394996643066,49.86,7.60000000000002,2023-03-13T14:20:15Z,166.948199272156,8.248,7.60000000000002,225,85
-11.6394540667534,58.26,7.39999999999998,2023-03-13T14:20:16Z,166.948263645172,8.707,7.39999999999998,225,85
-11.6394031047821,67.26,7,2023-03-13T14:20:17Z,166.948317289352,9.146,7,225,85
-11.6393414139748,76.73,6.60000000000002,2023-03-13T14:20:18Z,166.948403120041,9.552,6.60000000000002,225,85
-11.6392756998539,86.26,6.39999999999998,2023-03-13T14:20:19Z,166.948446035385,9.901,6.39999999999998,225,85
-11.639201939106,96.35,6,2023-03-13T14:20:20Z,166.948510408401,10.208,6,225,85
-11.63912281394,106.66,5.80000000000001,2023-03-13T14:20:21Z,166.948553323746,10.467,5.80000000000001,225,85
-11.6390410065651,117.29,5.39999999999998,2023-03-13T14:20:22Z,166.94859623909,10.686,5.39999999999998,225,85
-11.6389551758766,128.14,5.19999999999999,2023-03-13T14:20:23Z,166.948639154434,10.87,5.19999999999999,225,85
-11.6388666629791,139.15,5,2023-03-13T14:20:24Z,166.948692798615,11.032,5,225,85
-11.6387754678726,150.12,4.80000000000001,2023-03-13T14:20:25Z,166.948735713959,11.178,4.80000000000001,225,85
